12.60,32
14.70,25
13.40,42
15.00,40
15.90,52
15.50,55
15.10,43
15.20,33
14.10,28
15.10,24
15.00,28
15.50,28
15.40,28
14.20,28
15.40,40
15.20,33
15.50,32
15.70,33
15.90,40
16.50,60
14.90,35
15.80,40
15.20,46
15.90,40
16.50,50
16.90,60
16.50,65
15.60,55
15.80,50
16.20,51
16.40,59
15.50,51
17.10,65
15.20,68
17.20,62
16.00,60
16.70,65
16.30,65
16.1,70
16.70,62
15.90,62
16.20,57
16.20,64
16.20,70
16.00,66
15.90,68
16.00,75
15.40,67
15.70,72
15.60,78
15.50,75
14.90,63
15.80,63
15.90,62
15.60,65
16.10,68
16.20,68
15.70,77
16.40,75
15.70,75
15.90,74
16.40,70
16.50,69
16.60,75
16.40,75
15.90,68
16.40,64
14.90,84
14.60,76
14.60,56
15.30,64
16.00,71
15.60,68
15.60,68
15.30,67
15.70,65
15.30,55
15.50,57
15.90,61
15.90,75
15.70,60
16.20,66
16.40,71
14.40,56
15.60,55
15.00,52
15.00,43
15.00,32
15.70,46
15.10,33
15.50,46
15.30,38
15.20,36
15.20,59
15.70,44
14.90,45
14.50,36
14.50,36
14.90,46
14.80,38
14.10,34
14.90,32
14.90,30
15.70,50
13.90,39
14.70,30
15.40,32
14.70,32
14.40,32
14.90,33
15.20,34
14.90,40
15.10,36
